iso3_o,country_o,iso3_d,country_d,year,naics2,naics2description,extensive,greenfield,mergers,OperatingrevenueTurnover,OperatingrevenueTurnover_green,OperatingrevenueTurnover_mergers,TotalassetsthUSD,TotalassetsthUSD_green,TotalassetsthUSD_mergers,Numberofemployees,Numberofemployees_green,Numberofemployees_mergers,FixedassetsthUSD,FixedassetsthUSD_green,FixedassetsthUSD_mergers
ABW,Aruba,NLD,Netherlands,2010,42,Wholesale Trade ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,51,Information ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,53,Real Estate ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,54,Legal Services ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,55,Management of Companies and Enterprises ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,56,Administrative and Support and Waste Management and Remediation Services ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,71,"Arts, Entertainment, and Recreation ",12,1,0,0,0,0,255.1042938232422,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2010,72,Accommodation ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2011,42,Wholesale Trade ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2011,51,Information ,1,1,0,0,0,0,714.7930297851563,714.7930297851563,0,3,3,0,494.2878723144531,494.2878723144531,0
ABW,Aruba,NLD,Netherlands,2011,53,Real Estate ,3,0,0,0,0,0,8793.755126953125,0,0,85,0,0,4596.49267578125,0,0
ABW,Aruba,NLD,Netherlands,2011,54,Legal Services ,1,0,0,0,0,0,504.8706665039063,0,0,22,0,0,58.00423812866211,0,0
ABW,Aruba,NLD,Netherlands,2011,55,Management of Companies and Enterprises ,1,0,0,0,0,0,371.0568542480469,0,0,3,0,0,5.024213314056396,0,0
ABW,Aruba,NLD,Netherlands,2011,56,Administrative and Support and Waste Management and Remediation Services ,3,0,0,0,0,0,1179.173675537109,0,0,43,0,0,94.25801658630371,0,0
ABW,Aruba,NLD,Netherlands,2011,71,"Arts, Entertainment, and Recreation ",12,0,0,0,0,0,6127.953925296664,0,0,49,0,0,2578.642857313156,0,0
ABW,Aruba,NLD,Netherlands,2011,72,Accommodation ,1,0,0,0,0,0,6383.72314453125,0,0,24,0,0,4001.747802734375,0,0
ABW,Aruba,NLD,Netherlands,2012,42,Wholesale Trade ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,NLD,Netherlands,2012,51,Information ,1,0,0,0,0,0,682.1403198242188,0,0,11,0,0,428.2745971679688,0,0
